Остатки по КТ по размерам
Артикул продавца,Название,Артикул WB,Предмет,Бренд,Размер,Регион,Склад,Доступность,"Заказали, шт","Заказали на сумму, ₽","Выкупили, шт","Выкупили на сумму, ₽",Процент выкупа,"Заказы в среднем за октябрь, шт","Общее среднее кол-во заказов, шт","Остатки на текущий день, шт","Стоимость остатков на текущий день, ₽",Оборачиваемость текущих остатков,Оборачиваемость средних остатков,"В пути к клиенту, шт","В пути от клиента, шт","Текущая цена с учетом скидок, ₽",Время отсутствия товара на складе,"Упущенные заказы, шт","Сумма упущенных заказов, ₽","Упущенные выкупы, шт","Сумма упущенных выкупов, ₽"
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Электросталь,Баланс,18,31467,8,14248,89,2.57,2.57,,,0ч,21ч,,,1986,3д 4ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Подольск 3,Баланс,16,27939,8,13783,89,2.29,2.29,,,0ч,2д 18ч,1,,1986,1д 12ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Новосемейкино,Баланс,14,25109,2,3708,100,2,2,87,172782,26д 0ч,44д 15ч,5,1,1986,2д 21ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Рязань (Тюшевское),Баланс,14,25516,7,12752,100,2,2,50,99300,25д 0ч,27д 1ч,2,,1986,0ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Котовск,Баланс,13,23670,6,10991,100,1.86,1.86,93,184698,50д 2ч,53д 1ч,3,,1986,0ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Краснодар,Баланс,10,17629,7,12167,100,1.43,1.43,51,101286,35д 17ч,37д 23ч,1,,1986,0ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Баланс,5,9270,,,,0.71,0.71,2984,5926224,>999д,>999д,1,,1986,0ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Чехов 1,Баланс,4,7416,4,7416,100,0.57,0.57,193,383298,337д 18ч,339д 15ч,,,1986,0ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Екатеринбург - Перспективный 12,Баланс,2,3350,2,3350,100,0.29,0.29,,,0ч,1д 23ч,,,1986,5д 22ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Казань,Баланс,2,3708,1,1854,100,0.29,0.29,,,0ч,3ч,,,1986,6д 19ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Баланс,,,,,,,,,,>999д,0ч,47,3,1986,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Обухово,Баланс,,,,,,,,,,0ч,0ч,1,,1986,Отсутствовал весь период,0,0,0,0
