Остатки по КТ по размерам
Артикул продавца,Название,Артикул WB,Предмет,Бренд,Размер,Регион,Склад,Доступность,"Заказали, шт","Заказали на сумму, ₽","Выкупили, шт","Выкупили на сумму, ₽",Процент выкупа,"Заказы в среднем за октябрь, шт","Общее среднее кол-во заказов, шт","Остатки на текущий день, шт","Стоимость остатков на текущий день, ₽",Оборачиваемость текущих остатков,Оборачиваемость средних остатков,"В пути к клиенту, шт","В пути от клиента, шт","Текущая цена с учетом скидок, ₽",Время отсутствия товара на складе,"Упущенные заказы, шт","Сумма упущенных заказов, ₽","Упущенные выкупы, шт","Сумма упущенных выкупов, ₽"
ItsSport2/50g+AksDef/20g,Коллаген морской порошок для суставов и мышц спортсменов,192020889,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Не рассчитано,,,,,,,,,,0ч,0ч,,,2307,Отсутствовал весь период,Не рассчитано,Не рассчитано,Не рассчитано,Не рассчитано
ItsSport2/50g+Aks5/20g.FBS,Коллаген морской порошок для суставов и мышц спортсменов,552086756,Добавки для суставов и связок,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Баланс,3,8400,2,5600,100,0.43,0.43,175,612500,408д 8ч,495д 2ч,,,3500,0ч,0,0,0,0
ItsSport2/50g+Aks5/20g.FBS,Коллаген морской порошок для суставов и мышц спортсменов,552086756,Добавки для суставов и связок,ITS COLLAGEN,-,Центральный,Коледино,Баланс,,,,,,,,,,0ч,0ч,1,,3500,Отсутствовал весь период,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Неликвид,8,23447,4,11995,100,1.14,1.14,175,501050,153д 3ч,184д 21ч,,,2863,0ч,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Екатеринбург - Перспективный 12,Неликвид,1,2987,1,2987,100,0.14,0.14,,,0ч,7д 0ч,,,2863,4д 7ч,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Казань,Неликвид,,,,,,,,,,0ч,0ч,,,2863,Отсутствовал весь период,0,0,0,0
ItsSport2/50g+Aks5/20g,Коллаген морской порошок для суставов и мышц спортсменов,262310318,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Неликвид,,,,,,,,,,0ч,0ч,6,,2863,Отсутствовал весь период,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Подольск 3,Неактуальный,6,12354,3,6048,75,0.86,0.86,22,48433,34д 5ч,34д 10ч,,,2202,0ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Краснодар,Неактуальный,5,10495,2,3931,100,0.71,0.71,5,11008,7д 0ч,9д 1ч,,,2202,0ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Котовск,Неактуальный,2,4068,1,2016,100,0.29,0.29,33,72650,115д 12ч,118д 12ч,,,2202,0ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Новосемейкино,Неактуальный,2,3878,1,1676,100,0.29,0.29,68,149702,208д 17ч,212д 12ч,1,,2202,21ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Рязань (Тюшевское),Неактуальный,2,3965,1,2016,100,0.29,0.29,30,66045,105д 0ч,107д 0ч,,,2202,0ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Электросталь,Неактуальный,2,4151,1,1949,100,0.29,0.29,,,0ч,3д 12ч,,,2202,5д 11ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Виртуальный Ленина 77,Неактуальный,,,,,,,,,,0ч,0ч,,,2202,Отсутствовал весь период,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Воронеж WB,Неактуальный,,,,,,,,,,0ч,0ч,,,2202,Отсутствовал весь период,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Екатеринбург - Перспективный 12,Неактуальный,,,,,,,,1,2202,>999д,>999д,,,2202,4д 10ч,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Казань,Неактуальный,,,,,,,,,,0ч,0ч,,,2202,Отсутствовал весь период,0,0,0,0
ItsSport2/50g,Коллаген морской порошок для суставов и мышц спортсменов,163383328,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Неактуальный,,,,,,,,,,>999д,0ч,20,1,2202,Отсутствовал весь период,0,0,0,0
