Артикул продавца,Артикул товара,Заказы (всего),Остатки (всего),Оборачиваемость,Название склада,Заказы со склада,Остатки на складе
Its1_2_3/50g,163383326,101,3 125,"30,000","Чехов 1
Рязань (Тюшевское)
Электросталь
Котовск
Краснодар
Самара (Новосемейкино)
Маркетплейс
Подольск 3
Екатеринбург - Перспективный 12
Казань
Обухово МП","4
15
13
11
11
24
0
12
3
2
6","193
47
1
93
49
77
2665
0
0
0
0"
Its1_2_3/50g+AksPoly/20g,192024921,3,92,"30,000","Маркетплейс
Обухово МП
Краснодар","0
2
1","92
0
0"
Its2/50g+Aks5/20g.FBS,552086752,2,174,"87,000","Маркетплейс
Обухово МП","0
2","174
0"
Its2/50g+AksDef/20g,192023173,0,0,"0,000",,,
ItsSport2/50g,163383328,24,1 171,"48,000","Чехов 1
Рязань (Тюшевское)
Котовск
Подольск 3
Екатеринбург - Перспективный 12
Самара (Новосемейкино)
Краснодар
Маркетплейс
Воронеж
Электросталь","0
4
2
8
0
2
5
0
1
2","86
30
33
22
1
68
4
927
0
0"
Its1_2_3/50g+Aks5/20g,262310316,16,174,"10,000","Маркетплейс
Рязань (Тюшевское)
Обухово МП","0
1
15","174
0
0"
Its2/50g+Aks5/20g,262310317,22,175,"7,000","Самара (Новосемейкино)
Маркетплейс
Екатеринбург - Перспективный 12
Обухово МП","0
0
1
21","1
174
0
0"
Its2/50g,163383327,60,2 037,"33,000","Краснодар
Котовск
Рязань (Тюшевское)
Подольск 3
Электросталь
Маркетплейс
Казань
Самара (Новосемейкино)","10
8
2
13
25
0
1
1","32
65
87
15
74
1764
0
0"
Its1_2_3/50g+Aks5/20g.FBS,552086750,4,175,"43,000","Краснодар
Маркетплейс
Обухово МП","0
0
4","1
174
0"
ItsSport2/50g+Aks5/20g,262310318,11,174,"15,000","Маркетплейс
Обухово МП
Екатеринбург - Перспективный 12","0
10
1","174
0
0"
Its1_2_3/50g+AksRecov/20g,192024922,0,185,"0,000",Маркетплейс,0,185
ItsSport2/50g+Aks5/20g.FBS,552086756,3,174,"58,000","Маркетплейс
Обухово МП","0
3","174
0"
