Артикул,WB Заказы,ST Заказы,Разница заказов,% заказы,WB Остатки,ST Остатки,Разница остатков,% остатки
Its1_2_3/50g,98,112.0,-14.0,-14.29%,485,485.0,0.0,0.00%
Its2/50g,72,80.0,-8.0,-11.11%,500,500.0,0.0,0.00%
ItsSport2/50g,34,35.0,-1.0,-2.94%,250,250.0,0.0,0.00%
Its2/50g+Aks5/20g,20,22.0,-2.0,-10.00%,0,0.0,0.0,0.00%
Its1_2_3/50g+Aks5/20g,10,0.0,10.0,100.00%,0,0.0,0.0,0.00%
Its1_2_3/50g+Aks5/20g.FBS,4,5.0,-1.0,-25.00%,0,0.0,0.0,0.00%
ItsSport2/50g+Aks5/20g,8,0.0,8.0,100.00%,0,0.0,0.0,0.00%
Its1_2_3/50g+AksPoly/20g,5,0.0,5.0,100.00%,96,0.0,96.0,100.00%
Its1_2_3/50g+AksRecov/20g,0,0.0,0.0,0.00%,2,2.0,0.0,0.00%
Its2/50g+AksDef/20g,3,3.0,0.0,0.00%,0,0.0,0.0,0.00%
ItsSport2/50g+Aks5/20g.FBS,2,2.0,0.0,0.00%,0,0.0,0.0,0.00%
Its2/50g+Aks5/20g.FBS,3,3.0,0.0,0.00%,0,0.0,0.0,0.00%
